ano,sigla_uf,id_municipio,ranking,nota
2020,MT,5105259,220,7.71
2020,MG,3122306,223,7.69
2020,PI,2211001,224,7.68
2020,SP,3502101,225,7.67
2020,SP,3522208,226,7.65
2020,CE,2303709,227,7.64
2020,PB,2503209,228,7.63
2020,SP,3523404,229,7.62
2020,MG,3167202,230,7.59
2020,SP,3506359,230,7.59
2020,TO,1702109,230,7.59
2020,MG,3107307,230,7.59
2020,SP,3545803,234,7.57
2020,SP,3548807,235,7.56
2020,MG,3101607,235,7.56
2020,MG,3164704,235,7.56
2020,TO,1716109,238,7.55
2020,MG,3118007,239,7.54
2020,SC,4211900,239,7.54
2020,RO,1100288,239,7.54
2020,PA,1500404,242,7.52
2020,SP,3549102,243,7.51
2020,RS,4306106,243,7.51
2020,MG,3119401,245,7.5
2020,SP,3513009,246,7.48
2020,CE,2312908,247,7.45
2020,PA,1501303,247,7.45
2020,SC,4211306,249,7.43
2020,SP,3538006,250,7.42
2020,GO,5208707,250,7.42
2020,CE,2304202,252,7.41
2020,RJ,3304524,253,7.4
2020,PR,4118501,253,7.4
2020,MA,2112803,255,7.39
2020,PE,2615300,256,7.38
2020,MG,3139409,257,7.37
2020,MG,3154606,258,7.35
2020,AM,1302900,258,7.35
2020,SC,4202305,260,7.34
2020,PE,2609600,260,7.34
2020,SP,3537800,260,7.34
2020,PR,4127700,260,7.34
2020,PE,2601102,264,7.33
2020,MA,2112506,265,7.32
2020,SC,4203006,265,7.32
2020,SP,3530607,267,7.3
2020,SP,3525300,268,7.29
2020,MG,3157807,269,7.23
2020,CE,2307304,270,7.22
2020,CE,2302800,271,7.21
2020,PA,1506187,272,7.2
2020,CE,2313401,272,7.2
2020,RS,4307906,272,7.2
2020,RS,4309308,275,7.19
2020,SP,3548906,276,7.18
2020,PE,2611101,276,7.18
2020,RS,4309209,278,7.17
2020,SP,3516200,279,7.16
2020,SC,4202909,280,7.15
2020,PR,4104204,281,7.14
2020,ES,3204906,282,7.12
2020,SE,2804805,282,7.12
2020,SP,3554003,282,7.12
2020,MG,3131307,285,7.11
2020,RS,4316808,286,7.05
2020,RS,4322608,286,7.05
2020,AL,2708600,288,7.04
2020,MG,3151800,288,7.04
2020,RR,1400100,290,7.03
2020,CE,2303501,291,7
2020,PA,1502400,291,7
2020,PB,2515302,293,6.99
2020,SP,3548708,294,6.98
2020,PE,2602902,295,6.97
2020,TO,1721000,295,6.97
2020,MG,3149309,297,6.95
2020,PR,4114609,297,6.95
2020,CE,2304707,299,6.94
2020,PR,4128203,299,6.94
2020,PR,4119152,301,6.92
2020,SP,3555406,302,6.89
2020,SC,4204301,303,6.87
2020,SC,4205407,303,6.87
2020,MG,3170404,305,6.82
2020,AP,1600303,305,6.82
2020,SP,3503901,307,6.8
2020,CE,2302404,307,6.8
2020,SP,3522406,309,6.79
